Squad,Oyun_icin_kayitli_oyuncu_sayisi,Takimin_performans_gostergeleri_Yas_ortalamasý,Takimin_performans_gostergeleri_pas_denemelerinin_yuzdesi,Karsi_gerceklestirilen_performans_gostergeleri_Yas_ortalamasý,Karsi_gerceklestirilen_performans_gostergeleri_pas_denemelerinin_yuzdesi,Oyuncu_veya_takim_tarafindan_oynanan_maclar,Baslanilan_oyuncular_toplam,Baslanilan_oyuncularDakika,90_dakika_basina,Takimin_performans_gostergeleri_Gol,Takimin_performans_gostergeleri_Asist,Takimin_performans_gostergeleri_Gol_ve_Asist,Takimin_performans_gostergeleri_Gol_penaltii_haric,Takimin_performans_gostergeleri_Basarili_Penalti,Takimin_performans_gostergeleri_Penalti_toplam,Takimin_performans_gostergeleri_Sari_kart,Takimin_performans_gostergeleri_Kirmizi_kart,90_dakika_basina_performans_gostergeleri_Gol,90_dakika_basina_performans_gostergeleri_Ast,90_dakika_basina_performans_gostergeleri_Gol_ve_Asist,90_dakika_basina_performans_gostergeleri_Gol_penaltii_haric,90_dakika_basina_performans_gostergeleri_Gol_ve_Asist-Basarili_Penalti,Karsi_gerceklestirilen_performans_gostergeleri_Gol,Karsi_gerceklestirilen_performans_gostergeleri_Ast,Karsi_gerceklestirilen_performans_gostergeleri_Gol_ve_Asist,Karsi_gerceklestirilen_performans_gostergeleri_Gol_penaltii_haric,Karsi_gerceklestirilen_performans_gostergeleri_Basarili_Penalti,Karsi_gerceklestirilen_performans_gostergeleri_Penalti_toplam,Karsi_gerceklestirilen_performans_gostergeleri_Sari_kart,Karsi_gerceklestirilen_performans_gostergeleri_Kirmizi_kart,90_dakika_basina_karsi_gerceklestirilen_performans_gostergeleri_Gol,90_dakika_basina_karsi_gerceklestirilen_performans_gostergeleri_Ast,90_dakika_basina_karsi_gerceklestirilen_performans_gostergeleri_Gol_ve_Asist,90_dakika_basina_karsi_gerceklestirilen_performans_gostergeleri_Gol_penaltii_haric,90_dakika_basina_karsi_gerceklestirilen_performans_gostergeleri_Gol_ve_Asist-Basarili_Penalti,Takimin_performans_gostergeleri_Sh,Karsi_gerceklestirilen_performans_gostergeleri_Sh
Alanyaspor,25,27.4,48.5,28.3,51.5,17,187,1.53,17,16,10,26,14,2,2,36,0,0.94,0.59,1.53,0.82,1.41,15,12,27,14,1,2,33,1,0.88,0.71,1.59,0.82,1.53,206,183
Antalyaspor,29,29.1,43.6,28.2,56.4,17,187,1.53,17,16,12,28,16,0,0,41,2,0.94,0.71,1.65,0.94,1.65,31,25,56,30,1,1,40,0,1.82,1.47,3.29,1.76,3.24,142,247
Basaksehir,26,28.7,55.3,28,44.7,17,187,1.53,17,25,20,45,23,2,2,40,3,1.47,1.18,2.65,1.35,2.53,17,14,31,15,2,3,49,4,1,0.82,1.82,0.88,1.71,220,225
Besiktas,30,28,52.5,28,47.5,17,187,1.53,17,29,21,50,27,2,4,40,3,1.71,1.24,2.94,1.59,2.82,21,12,33,20,1,1,47,2,1.24,0.71,1.94,1.18,1.88,261,219
Eyüpspor,28,29.8,50.9,28.4,49.1,17,187,1.53,17,10,6,16,9,1,1,40,0,0.59,0.35,0.94,0.53,0.88,24,18,42,19,5,5,39,1,1.41,1.06,2.47,1.12,2.18,196,227
Fatih_Karagumruk,27,27.9,47.6,28.2,52.4,17,187,1.53,17,13,10,23,12,1,2,36,2,0.76,0.59,1.35,0.71,1.29,28,21,49,25,3,4,33,2,1.65,1.24,2.88,1.47,2.71,182,262
Fenerbahçe,32,28.1,59,28.5,41,17,187,1.53,17,38,25,63,35,3,5,41,1,2.24,1.47,3.71,2.06,3.53,14,11,25,14,0,0,50,8,0.82,0.65,1.47,0.82,1.47,315,160
Galatasaray,26,28.9,62.1,28.3,37.9,17,187,1.53,17,38,30,68,36,2,2,31,2,2.24,1.76,4,2.12,3.88,12,7,19,12,0,0,35,5,0.71,0.41,1.12,0.71,1.12,298,165
Gaziantep_FK,27,28.3,53.3,28.2,46.7,17,187,1.53,17,24,20,44,21,3,5,51,3,1.41,1.18,2.59,1.24,2.41,28,17,45,24,4,5,58,3,1.65,1,2.65,1.41,2.41,240,248
Genclerbirligi,29,28.2,40.5,28.4,59.5,17,187,1.53,17,20,13,33,18,2,3,36,5,1.18,0.76,1.94,1.06,1.82,23,16,39,20,3,3,36,1,1.35,0.94,2.29,1.18,2.12,185,261
Goztepe,24,25.8,38.5,28.3,61.5,17,187,1.53,17,21,16,37,21,0,1,41,4,1.24,0.94,2.18,1.24,2.18,9,5,14,9,0,2,38,2,0.53,0.29,0.82,0.53,0.82,230,211
Kasimpasa,21,28.6,44.4,28.3,55.6,17,187,1.53,17,13,11,24,12,1,1,38,2,0.76,0.65,1.41,0.71,1.35,24,22,46,24,0,1,39,1,1.41,1.29,2.71,1.41,2.71,181,222
Kayserispor,28,29.7,48,28.3,52,17,187,1.53,17,16,15,31,16,0,0,44,2,0.94,0.88,1.82,0.94,1.82,33,22,55,30,3,3,33,2,1.94,1.29,3.24,1.76,3.06,196,238
Kocaelispor,28,29.2,49.9,28.4,50.1,17,187,1.53,17,15,9,24,13,2,2,41,2,0.88,0.53,1.41,0.76,1.29,15,10,25,13,2,2,36,0,0.88,0.59,1.47,0.76,1.35,174,185
Konyaspor,27,28.8,52.8,28.1,47.2,17,187,1.53,17,19,15,34,16,3,3,37,1,1.12,0.88,2,0.94,1.82,28,18,46,26,2,2,38,1,1.65,1.06,2.71,1.53,2.59,245,215
